molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
22,7,1,0,1,0,4,0,-1,105.093,3.577,273.464,70.610,202.854,0.000,0.000,392.731,3.000,3.700,0.0325781,0.0234349,0.9484095,6.995,4.085,8.606,8.913,-3.317,0.301,0.581,-1.285,7.460,-0.783,3.494,-6.937,9.715,-0.961,4,-1.100,1,23.141,0.000,0.000,97.315,4,0,0,0,0,0,7,1,0.049
23,1,1,0,1,0,5,0,-1,149.207,2.222,363.085,168.318,151.574,0.000,43.192,556.049,3.000,3.500,0.0088761,0.0166963,0.9006705,12.889,5.346,10.070,8.377,-1.591,-0.669,0.051,-2.058,22.857,-0.479,20.210,-5.896,8.940,-0.206,3,-0.908,2,41.955,0.000,0.000,74.769,3,0,0,0,0,0,9,1,0.054
24,0,1,0,1,0,5,0,-2,181.191,2.911,396.795,43.671,202.295,150.829,0.000,632.206,4.000,3.750,0.0134036,0.0189014,0.8977821,17.377,7.488,13.571,11.525,-1.877,-0.687,-0.684,-2.824,7.552,-1.013,3.541,-6.299,8.968,-0.255,5,-0.843,2,31.673,0.000,0.000,97.157,4,0,6,0,6,0,13,1,0.019
25,1,0,0,0,0,11,0,-2,416.643,1.661,771.209,617.728,123.725,29.757,0.000,1452.324,3.000,4.150,0.0018991,0.0093204,0.8042086,45.189,13.487,21.037,8.674,5.441,-6.595,-5.923,-4.842,664.691,-1.375,318.144,-2.639,8.748,0.149,6,1.107,1,96.367,0.000,0.000,63.505,3,1,15,0,15,12,30,1,0.000
26,10,0,0,0,0,20,0,-2,568.881,1.895,1152.412,901.218,98.571,152.623,0.000,2127.821,2.000,3.400,0.0016879,0.0041724,0.6942470,67.617,21.425,26.366,6.068,10.603,-12.633,-9.573,-7.207,1151.204,-2.005,576.034,-0.878,8.036,0.989,10,2.848,1,100.000,0.000,0.000,44.421,2,2,12,0,12,8,42,2,0.000
27,3,2,0,2,0,9,1,-2,240.292,4.676,447.194,87.118,295.125,0.000,64.951,726.759,6.000,7.000,0.0300906,0.0383422,0.8741693,17.152,8.798,18.743,16.523,-3.162,0.507,0.653,-1.405,0.063,-1.597,0.064,-10.220,9.455,2.268,6,-1.295,1,0.000,0.000,0.000,149.264,6,1,0,0,0,0,14,1,0.000
28,5,0,0,2,0,3,0,-2,118.089,3.283,295.996,77.196,218.800,0.000,0.000,431.336,2.000,4.000,0.0249814,0.0191113,0.9327312,9.182,4.228,8.059,8.127,-0.575,-0.223,-0.489,0.995,5.348,-1.294,2.804,-5.264,11.437,-0.614,2,-1.190,2,36.611,0.000,0.000,103.313,4,0,0,0,0,0,8,1,0.287
29,0,0,0,0,0,9,0,-2,376.368,8.649,608.718,257.639,277.920,73.159,0.000,1089.536,5.000,12.300,0.0686557,0.0451829,0.8412200,32.369,11.949,25.698,21.025,-0.920,-2.355,-2.963,-4.450,22.929,-2.597,8.358,-5.520,8.989,1.560,6,-0.855,2,45.907,0.000,0.000,175.350,10,0,14,0,14,0,27,1,0.005
30,1,0,0,0,1,10,0,-2,221.210,5.376,452.177,203.689,248.488,0.000,0.000,739.425,3.250,9.550,0.0390802,0.0380747,0.8745533,17.017,7.521,15.612,16.947,-2.163,0.455,0.059,-2.187,23.536,-2.205,16.742,-5.139,9.676,-0.067,5,-1.485,2,38.833,0.000,33.638,152.324,7,0,0,0,0,0,15,0,4.579
31,3,1,0,2,2,11,1,-2,307.321,5.024,580.695,169.739,336.808,0.000,74.149,961.035,4.500,8.000,0.0262644,0.0292246,0.8110412,25.244,10.940,19.910,19.502,-3.053,-0.324,0.013,1.048,0.037,-2.933,0.109,-8.733,9.730,0.368,7,-1.729,1,0.000,0.000,54.380,197.890,9,1,0,0,0,0,20,2,0.000
32,0,1,0,2,0,15,4,-2,385.307,3.375,636.294,394.634,241.591,0.000,0.069,1151.986,4.000,12.000,0.0098864,0.0377184,0.8352288,30.317,11.531,22.056,17.263,-1.601,-1.159,-1.346,-1.309,0.811,-2.251,0.404,-6.594,9.709,-0.115,5,-1.310,1,2.983,0.000,0.000,192.400,11,1,0,0,0,0,25,1,0.007
33,9,1,0,1,0,2,0,-1,75.067,2.409,232.294,55.446,176.848,0.000,0.000,313.464,3.000,3.000,0.0185150,0.0223689,0.9606948,5.107,3.102,7.345,8.389,-3.007,0.360,0.692,-1.087,13.163,-0.436,6.455,-6.649,9.844,-0.770,3,-1.105,1,29.371,0.000,0.000,78.878,3,0,0,0,0,0,5,1,0.106
34,3,0,0,0,0,10,0,-1,400.643,3.310,764.564,647.425,84.780,32.360,0.000,1434.211,2.000,2.450,0.0076396,0.0045318,0.8044386,45.131,12.839,18.562,5.493,6.511,-7.445,-6.366,-4.851,1555.728,-0.913,797.641,-2.008,8.655,0.063,6,1.528,1,100.000,0.000,0.000,42.314,2,1,15,0,15,12,29,1,0.000
35,0,0,0,0,0,4,0,-2,167.164,4.620,369.644,139.453,170.010,60.181,0.000,584.773,1.000,4.450,0.0364961,0.0120386,0.9148980,15.255,5.594,8.920,7.140,0.036,-1.125,-1.366,-3.196,241.934,-1.032,106.709,-4.057,9.459,0.992,4,-0.707,2,69.817,0.000,0.000,88.304,4,0,6,0,6,0,12,0,1.330
36,2,0,1,1,0,3,0,-2,131.134,5.635,320.999,112.061,208.938,0.000,0.000,485.392,4.000,4.000,0.0654274,0.0249222,0.9305137,11.345,5.203,12.223,11.049,-0.511,-0.569,-0.675,-0.849,26.190,-1.226,12.274,-7.145,8.644,-0.564,2,-0.990,2,49.337,0.000,0.000,109.417,5,0,0,0,0,0,9,0,0.002
36,2,0,1,1,0,3,0,-2,131.134,4.907,320.074,110.605,209.469,0.000,0.000,484.520,4.000,4.000,0.0496921,0.0249942,0.9320840,11.310,5.215,12.000,11.051,-0.517,-0.559,-0.675,-0.823,25.888,-1.225,12.121,-7.155,8.641,-0.659,2,-0.989,2,49.211,0.000,0.000,109.772,5,0,0,0,0,0,9,0,0.002
37,1,1,0,1,0,4,0,-1,131.174,1.349,346.396,196.964,149.433,0.000,0.000,539.185,3.000,3.000,0.0033772,0.0150006,0.9248761,12.856,5.089,9.568,8.036,-1.520,-0.712,0.227,-1.666,23.951,-0.444,12.329,-5.952,9.734,-0.646,3,-0.854,2,42.732,0.000,0.000,74.494,3,0,0,0,0,0,9,0,0.074
38,0,1,0,1,0,4,0,-1,204.228,5.159,418.479,46.596,166.883,205.000,0.000,686.398,4.000,3.000,0.0387827,0.0143376,0.8992400,20.705,8.201,14.635,11.187,-1.060,-1.180,-1.406,-3.059,16.362,-0.655,8.167,-5.552,8.164,-0.199,4,-0.640,2,42.465,0.000,0.000,87.892,4,0,9,0,9,0,15,1,0.036
39,5,1,0,1,0,4,1,-1,121.154,1.382,289.222,58.691,154.028,0.000,76.503,422.764,3.000,2.500,0.0045162,0.0149716,0.9418871,8.197,4.549,8.118,7.463,-1.948,0.077,0.303,-1.391,21.665,-0.249,29.033,-6.037,9.267,-0.059,4,-1.059,2,39.448,0.000,0.000,75.289,3,0,0,0,0,0,7,1,0.173
40,0,1,0,0,0,6,0,0,268.376,3.122,522.823,303.134,141.265,40.399,38.024,895.262,3.000,6.700,0.0108901,0.0221963,0.8592327,26.208,8.748,16.382,11.896,0.645,-1.600,-1.524,-4.729,113.027,-0.582,83.777,-5.467,8.961,0.188,5,-0.422,3,67.473,0.000,0.000,75.949,5,0,11,0,11,3,18,0,0.023
40,0,1,0,0,0,6,0,0,268.376,5.157,517.784,301.109,141.427,37.370,37.877,888.904,3.000,6.700,0.0299171,0.0224123,0.8634822,25.924,8.684,16.551,11.864,0.608,-1.525,-1.524,-4.645,112.629,-0.571,83.304,-5.481,8.951,0.169,5,-0.431,3,67.228,0.000,0.000,75.354,5,0,11,0,11,3,18,0,0.026
40,0,1,0,0,0,6,0,0,268.376,2.868,515.185,305.096,135.275,37.296,37.519,887.392,3.000,6.700,0.0092675,0.0225254,0.8668521,25.863,8.639,16.223,11.816,0.645,-1.486,-1.524,-4.590,128.822,-0.508,95.888,-5.368,8.949,0.174,5,-0.430,3,68.485,0.000,0.000,74.588,5,0,11,0,11,3,18,0,0.038
40,0,1,0,0,0,6,0,0,268.376,6.827,524.153,314.096,127.551,47.435,35.071,901.909,3.000,6.700,0.0516831,0.0221400,0.8612890,26.541,8.755,16.995,11.853,0.778,-1.607,-1.524,-4.729,152.488,-0.460,111.564,-5.190,8.806,0.153,5,-0.405,3,70.578,0.000,0.000,74.087,5,0,11,0,11,3,18,0,0.043
41,5,0,0,0,0,8,0,0,396.655,2.071,743.339,662.641,48.889,31.809,0.000,1429.619,1.000,1.700,0.0030014,0.0022870,0.8256420,46.226,12.241,17.006,3.431,7.294,-7.938,-6.729,-4.505,3406.332,-0.397,1860.755,-1.540,8.668,0.064,7,1.888,1,100.000,0.000,0.000,22.286,1,1,15,0,15,12,29,2,0.000
42,2,1,0,1,1,6,0,-2,175.187,7.578,399.188,113.892,285.297,0.000,0.000,621.545,6.000,5.000,0.0924023,0.0306809,0.8823398,14.868,7.215,17.458,17.674,-4.009,0.902,0.736,-0.980,0.637,-1.843,0.499,-8.264,9.542,-0.627,4,-1.431,1,0.000,0.000,36.007,140.716,6,1,0,0,0,0,12,1,0.008
43,4,1,0,1,0,4,0,-1,119.120,3.099,300.096,109.771,190.325,0.000,0.000,445.907,3.000,3.700,0.0215372,0.0213551,0.9405919,9.123,4.516,9.120,8.892,-3.355,-0.013,0.460,-1.412,9.807,-0.713,4.696,-6.706,10.094,-0.485,4,-1.036,1,25.047,0.000,0.000,94.528,4,0,0,0,0,0,8,1,0.048
44,5,0,0,2,0,10,0,-2,441.402,12.833,755.879,99.485,449.029,207.365,0.000,1308.475,6.250,12.750,0.1258524,0.0421695,0.7654026,41.771,16.602,32.609,25.510,-0.373,-3.942,-3.976,-2.702,0.035,-5.149,0.012,-8.105,8.331,1.212,6,-1.067,1,0.000,0.000,0.000,251.350,13,2,16,0,16,0,32,1,0.000
45,1,0,0,1,0,13,0,-2,302.456,2.411,671.685,501.217,89.726,80.743,0.000,1197.637,1.000,2.000,0.0048543,0.0029776,0.8119881,34.199,10.780,12.953,3.062,5.956,-5.678,-4.525,-3.152,353.696,-1.127,204.603,-1.641,9.715,-0.722,7,0.791,3,94.476,0.000,0.000,51.524,2,1,0,0,0,0,22,1,0.015
46,7,1,0,1,0,2,0,-1,89.094,3.319,263.064,104.990,158.074,0.000,0.000,371.742,3.000,3.000,0.0296364,0.0197524,0.9504545,7.439,3.546,8.194,8.335,-2.960,0.265,0.662,-1.252,19.833,-0.325,10.054,-6.303,9.539,-0.888,3,-1.049,2,32.836,0.000,0.000,75.817,3,0,0,0,0,0,6,1,0.134
47,4,1,0,1,0,3,0,-1,117.147,1.918,313.888,172.774,141.114,0.000,0.000,478.217,3.000,3.000,0.0076960,0.0165542,0.9421946,11.058,4.552,9.020,8.121,-1.757,-0.366,0.409,-1.386,28.722,-0.279,15.003,-5.895,9.745,-0.650,3,-0.921,2,42.759,0.000,0.000,71.937,3,0,0,0,0,0,8,0,0.149
48,2,0,0,0,0,9,0,0,286.456,1.451,646.048,544.143,57.242,44.663,0.000,1142.092,1.000,1.700,0.0018430,0.0026314,0.8179013,34.200,9.764,12.671,3.121,5.391,-5.966,-4.408,-4.692,2838.429,-0.549,1527.826,-1.553,8.519,0.310,5,1.026,3,100.000,0.000,0.000,23.044,1,1,6,0,6,4,21,1,0.009
49,8,0,0,0,0,13,0,0,430.713,0.642,910.361,847.977,35.752,26.633,0.000,1662.431,1.000,1.500,0.0002478,0.0016477,0.7454988,52.284,14.747,18.413,2.409,8.967,-10.330,-7.808,-5.777,4538.007,-0.649,2537.134,-0.836,8.343,-0.237,5,2.377,1,100.000,0.000,0.000,23.894,2,1,10,0,10,3,31,1,0.000
50,0,0,0,0,0,5,0,-1,169.180,3.418,376.039,170.265,144.543,61.230,0.000,596.945,3.000,5.150,0.0195753,0.0237211,0.9117765,15.110,5.976,11.759,10.387,-0.095,-0.999,-1.312,-3.252,421.886,-0.897,194.639,-3.488,9.226,0.150,5,-0.764,2,73.378,0.000,0.000,75.582,4,0,6,0,6,0,12,0,5.517
50,0,0,0,0,0,5,0,-1,169.180,3.917,376.199,164.898,153.865,57.435,0.000,596.207,3.000,5.150,0.0257314,0.0237110,0.9106380,15.044,5.996,11.858,10.425,-0.169,-1.001,-1.312,-3.252,344.187,-0.975,156.199,-3.673,9.257,0.286,5,-0.767,2,71.361,0.000,0.000,75.840,4,0,6,0,6,0,12,0,3.585
51,1,0,0,1,0,5,1,-1,206.317,4.385,439.661,233.374,109.216,0.000,97.070,709.422,1.000,3.000,0.0271102,0.0068234,0.8749510,19.027,6.402,9.299,4.871,2.595,-2.868,-2.319,-1.748,231.100,-0.451,439.423,-3.052,8.403,1.945,1,-0.387,3,84.449,0.000,0.000,51.770,2,0,5,0,5,3,12,0,0.248
52,0,1,0,1,1,8,1,-2,294.307,5.973,551.650,171.483,195.565,184.602,0.000,972.432,2.250,5.750,0.0366912,0.0156349,0.8604802,29.389,10.466,16.518,12.345,-0.790,-1.783,-1.582,-2.214,6.006,-1.281,4.150,-5.768,9.342,0.046,6,-0.657,2,36.252,0.000,20.508,140.430,7,0,6,0,6,0,21,1,0.008
53,0,0,0,0,0,0,0,0,172.183,1.274,380.460,84.216,98.859,197.385,0.000,609.364,0.000,4.000,0.0026656,0.0000000,0.9136374,20.118,6.082,8.464,6.590,1.012,-1.055,-1.473,-3.871,1143.994,-0.226,572.136,-2.646,10.161,1.605,1,-0.683,3,87.614,0.000,0.000,55.820,2,0,10,0,10,0,13,0,18.086
54,6,0,0,4,0,14,3,-2,507.183,4.446,673.668,70.911,480.856,110.306,11.595,1200.857,4.000,20.100,0.0164607,0.0596733,0.8110487,33.968,14.541,29.174,27.934,-2.303,-0.589,-2.222,2.115,0.004,-5.125,0.001,-8.649,8.504,0.126,4,-2.662,1,0.000,0.000,0.000,281.969,18,3,14,0,14,4,31,1,0.000
55,6,1,0,1,0,1,0,-1,115.132,3.078,302.091,173.847,128.244,0.000,0.000,449.729,2.000,3.500,0.0210694,0.0163849,0.9397104,11.202,3.884,8.070,7.474,-2.121,-0.226,0.470,-1.426,38.042,-0.066,20.328,-5.850,9.367,-0.965,1,-0.875,2,42.809,0.000,0.000,65.245,3,0,5,0,5,4,8,0,0.097
56,2,0,0,0,0,1,0,-1,135.128,2.574,303.922,0.000,171.117,132.805,0.000,453.215,3.000,4.000,0.0146136,0.0227960,0.9388704,12.610,5.380,10.625,10.631,-0.196,-1.954,-1.267,-3.154,236.156,-0.791,103.957,-4.109,8.533,0.145,1,-0.744,3,68.273,0.000,0.000,79.889,5,0,9,0,9,0,10,0,1.691
56,2,0,0,0,0,1,0,-1,135.128,9.859,303.788,0.000,172.647,131.141,0.000,453.433,3.000,4.000,0.2143532,0.0228060,0.9395848,12.603,5.390,13.367,10.630,-0.197,-1.950,-1.267,-3.135,228.395,-0.801,100.269,-4.143,8.703,0.387,1,-0.743,3,68.008,0.000,0.000,80.586,5,0,9,0,9,0,10,0,1.569
57,4,1,0,1,1,4,0,-2,132.119,4.363,310.946,51.587,259.359,0.000,0.000,463.491,4.000,4.500,0.0410673,0.0289440,0.9314824,9.827,5.323,11.846,14.707,-4.094,1.537,1.050,-0.185,1.016,-1.272,0.921,-7.978,9.920,-0.445,5,-1.377,1,3.099,0.000,41.441,127.795,5,0,0,0,0,0,9,1,0.048
58,0,0,0,1,0,13,1,-2,424.533,8.063,734.460,403.390,234.223,96.847,0.000,1377.837,3.000,8.100,0.0471845,0.0191019,0.8153213,41.565,14.028,23.133,13.243,3.295,-4.482,-4.735,-3.175,15.079,-2.569,6.758,-4.247,9.199,-0.082,7,0.012,2,67.329,0.000,0.000,137.533,7,0,10,0,10,6,30,2,0.001
59,0,1,0,0,0,11,0,1,318.338,5.952,585.512,315.829,49.049,103.245,117.389,1021.024,2.000,5.400,0.0346931,0.0130429,0.8375028,28.630,8.441,15.232,8.027,2.837,-2.487,-2.817,-5.380,846.586,0.121,2009.601,-3.066,9.467,0.535,4,-0.133,3,95.956,117.389,0.000,52.398,4,0,6,0,6,0,22,0,0.890
60,0,0,0,1,1,10,0,-2,435.525,9.804,753.188,331.680,191.848,229.660,0.000,1397.938,2.000,8.000,0.0687578,0.0150211,0.8027619,45.564,14.662,23.377,14.333,3.417,-4.776,-5.215,-2.637,27.353,-2.024,18.372,-3.286,9.350,0.772,3,-0.089,2,72.672,0.000,17.991,127.491,8,0,17,0,17,0,32,0,0.004
60,0,0,0,1,1,10,0,-2,435.525,5.780,687.019,290.677,155.498,240.844,0.000,1346.038,2.000,8.500,0.0248168,0.0174971,0.8581598,43.594,13.916,22.409,14.327,3.209,-3.583,-5.023,-1.794,63.077,-1.447,43.326,-2.577,9.114,0.496,3,-0.266,3,77.952,0.000,15.708,126.219,8,0,17,0,17,0,32,0,0.301
61,0,1,0,1,1,9,1,0,416.516,5.821,713.037,424.008,93.460,195.569,0.000,1336.919,2.000,8.500,0.0253421,0.0168586,0.8231071,43.438,13.117,21.865,14.211,1.097,-3.472,-2.969,-2.871,56.160,-0.500,46.199,-3.752,9.228,-0.347,5,-0.278,3,64.680,0.000,20.187,101.523,7,0,14,0,14,7,30,0,0.025
62,1,0,0,0,0,9,0,-2,302.369,0.165,589.473,169.175,203.252,217.046,0.000,1024.998,4.000,3.000,0.0000266,0.0101786,0.8340332,31.160,11.577,17.678,10.825,2.621,-3.763,-4.484,-5.253,117.074,-1.927,48.693,-3.637,8.696,-0.126,6,0.111,3,79.311,0.000,0.000,88.154,4,0,12,0,12,0,22,0,0.012
