molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,0,0,0,0,2,0,-1,167.207,4.111,390.268,245.642,102.843,41.783,0,626.804,2.5,2.5,0.0269593,0.0101285,0.9075904,18.046,5.709,10.586,7.325,1.152,-2.007,-1.5,-3.227,1048.68,-0.389,520.79,-3.076,9.871,-0.916,1,-0.339,3,87.753,0,0,59.498,3,0,6,0,6,6,12,0,1.449
17,1,1,0,0,0,3,0,2,171.241,1.095,429.628,184.792,12.421,232.416,0,684.217,1.5,1.5,0.0017532,0.0042761,0.8740468,21.522,6.515,9.219,5.431,2.427,-1.69,-1.265,-5.405,1883.696,0.673,1085.135,-2.704,9.157,-0.261,4,-0.016,3,100,0,0,12.945,1,0,9,0,9,3,13,0,6.902
18,4,0,0,2,0,13,0,-2,477.479,6.025,799.741,177.458,429.916,192.367,0,1436.932,6.75,10.75,0.0252658,0.0349229,0.7700277,44.842,17.682,31.793,23.484,1.24,-4.407,-5.23,-2.556,0.053,-5.054,0.019,-7.517,8.513,1.039,6,-0.693,1,0,0,0,233.608,12,2,16,0,16,0,35,1,0
18,4,0,0,2,0,13,0,-2,477.479,3.81,758.571,172.524,385.309,200.738,0,1408.005,6.75,10.75,0.0103114,0.0368183,0.8008871,43.764,17,31.145,23.138,1.454,-3.817,-5.23,-2.096,0.141,-4.225,0.055,-6.665,8.552,1.081,6,-0.695,1,0,0,0,230.829,12,2,16,0,16,0,35,1,0
19,13,0,0,0,0,0,0,0,27.026,3.991,160.896,36.267,72.652,51.977,0,187.933,0.5,1.5,0.0847383,0.0065922,0.9861746,1.863,0.864,2.39,3.164,-0.151,1.334,0.189,-2.004,2027.391,0.065,1061.972,-2.675,12.606,-1.443,0,-1.044,3,85.25,0,0,25.795,1,0,0,0,0,0,2,0,656.828
21,1,0,0,0,0,6,0,-2,176.126,3.751,346.948,82.196,254.76,9.993,0,543.306,4,7.9,0.0259021,0.0455399,0.9281041,11.832,6.208,14.096,14.671,-1.852,-0.64,-0.761,-2.743,38.02,-1.77,14.438,-5.603,9.455,0.24,5,-0.936,2,44.383,0,0,129.701,6,0,5,0,5,1,12,0,0.104
22,5,1,0,1,0,4,1,-1,121.154,1.382,289.222,58.69,154.029,0,76.503,422.764,3,2.5,0.004516,0.0149716,0.9418871,8.197,4.549,8.118,7.463,-1.948,0.077,0.303,-1.391,21.664,-0.249,29.033,-6.037,9.267,-0.059,4,-1.059,2,39.447,0,0,75.289,3,0,0,0,0,0,7,1,0.173
23,4,0,0,0,0,13,2,-2,342.299,4.816,538.609,226.068,312.541,0,0,963.106,8,16.8,0.0240787,0.0882227,0.87567,24.042,11.269,28.957,28.538,-3.608,-0.326,-0.384,-3.544,10.766,-2.937,3.692,-6.032,10.849,-1.567,7,-1.283,1,0,0,0,192.858,11,2,11,0,11,9,23,2,0.024
25,3,0,0,0,0,5,2,-2,182.148,1.549,349.852,132.463,179.717,0,37.672,552.35,4,8.5,0.0043462,0.048592,0.9305873,12.741,5.487,14.279,14.924,-1.385,-0.997,-0.5,-2.655,195.723,-1.029,136.479,-4.352,11.027,-2.011,3,-0.896,2,59.852,37.672,0,94.296,5,0,6,0,6,5,12,0,0.816
26,6,0,0,0,0,13,2,-2,342.299,3.535,515.735,169.843,345.891,0,0,932.729,8,16.8,0.0134003,0.0921357,0.8951775,22.827,11.315,28.598,28.71,-3.686,0.006,-0.384,-3.228,5.198,-3.098,1.68,-6.646,10.887,-1.32,8,-1.202,1,0,0,0,192.161,11,2,11,0,11,9,23,2,0.007
27,3,0,0,0,0,5,1,-2,178.141,7.176,353.441,107.961,245.48,0,0,555.839,4,9.8,0.0926529,0.0554548,0.9250119,12.88,6.175,16.37,16.648,-2.29,-0.906,-0.287,-2.745,46.56,-1.651,17.973,-5.564,10.912,-0.454,4,-0.936,2,43.392,0,0,125.458,6,0,6,0,6,4,12,0,0.06
28,2,0,0,0,0,8,0,-2,150.131,2.005,334.264,107.117,227.147,0,0,520.304,3,7.8,0.0077301,0.0404172,0.9359386,9.532,5.55,11.327,12.38,-1.788,0,-0.234,-2.569,69.481,-1.647,27.704,-4.938,10.749,-0.102,4,-1.099,2,49.443,0,0,119.365,5,0,0,0,0,0,10,0,1.731
29,4,0,0,0,0,11,0,-2,182.173,4.768,385.058,136.212,248.846,0,0,612.093,6,10.2,0.0371399,0.0648858,0.9054205,11.279,7.062,17.952,18.746,-3.087,-0.063,-0.34,-3.062,43.261,-2.123,16.601,-5.05,10.879,-2.073,6,-1.095,1,25.194,0,0,126.209,6,1,0,0,0,0,12,0,0.565
30,2,0,0,1,0,10,0,-2,196.157,3.847,378.966,86.413,292.553,0,0,611.608,5,9.5,0.0241975,0.0560542,0.9194902,11.902,7.271,16.441,17.095,-1.863,-0.392,-0.46,-1.027,4.219,-2.346,1.706,-5.951,10.94,-0.098,5,-1.226,2,14.267,0,0,152.895,7,1,0,0,0,0,13,1,0.089
31,4,0,0,0,0,11,0,-2,182.173,2.47,376.999,144.763,232.237,0,0,610.028,6,10.2,0.0100015,0.0662728,0.9226943,11.196,7.087,17.504,18.614,-3.07,-0.085,-0.34,-2.783,62.173,-1.918,24.568,-4.744,10.879,-2.083,6,-1.04,1,28.116,0,0,124.753,6,1,0,0,0,0,12,0,1.181
32,8,0,1,0,0,1,0,-1,59.071,5.22,206.866,0,206.866,0,0,268.031,5,2,0.1016729,0.0216185,0.9718505,3.931,3.346,10.652,10.696,-1.902,0.93,-0.227,-1.987,108.191,-0.957,44.712,-7.299,8.622,-1.229,2,-1.168,2,52.214,0,0,86.899,3,0,0,0,0,0,4,0,0.025
33,11,0,0,0,0,6,0,1,498.965,1.054,491.278,0.261,0,0,491.017,834.688,0,0,0.0013315,0,0.8726768,23.398,3.671,8.797,-0.25,6.617,-6.504,-6.504,-3.592,9906.038,0.192,10000,-0.943,12.266,2.39,0,0.786,1,100,426.798,0,0,0,1,0,0,0,0,26,1,0.018
34,10,0,0,0,0,3,0,1,338.044,0,398.829,0.589,0,0,398.24,646.87,0,0,0,0,0.9069629,17.807,1.743,6.515,0.157,4.878,-4.549,-4.549,-3.037,9906.038,0.193,10000,-1.231,13.942,1.547,0,0.368,3,100,398.24,0,0,0,0,0,0,0,0,20,0,0.56
35,4,0,0,2,0,5,0,-2,150.088,0.001,309.2,34.491,274.708,0,0,465.374,2,5.4,0,0.0246985,0.9392779,9.26,5.089,8.718,9.477,-0.384,-0.48,-0.592,1.1,1.578,-1.814,0.749,-6.102,11.112,-0.318,2,-1.308,1,28.241,0,0,138.708,6,0,0,0,0,0,10,1,0.094
35,3,0,0,2,0,5,0,-2,150.088,2.379,311.085,29.923,281.161,0,0,467.512,2,5.4,0.0121058,0.0245488,0.9364433,9.345,5.125,8.941,9.525,-0.416,-0.482,-0.592,1.055,1.37,-1.875,0.643,-6.221,11.147,-0.295,2,-1.308,1,26.959,0,0,140.859,6,0,0,0,0,0,10,1,0.068
35,3,0,0,2,0,5,0,-2,150.088,6.122,311.351,27.275,284.076,0,0,468.478,2,5.4,0.0799922,0.0245278,0.9369318,9.384,5.162,9.901,9.546,-0.429,-0.481,-0.592,1.062,1.286,-1.895,0.601,-6.275,11.087,-0.333,2,-1.307,1,26.389,0,0,140.959,6,0,0,0,0,0,10,1,0.06
36,2,0,0,2,0,5,2,-1,182.209,0.007,334.966,26.163,187.24,0,121.563,517.888,2,3,0.0000001,0.0126659,0.9310828,11.361,5.819,8.313,6.623,1.374,-1.173,-1.71,0.968,10.654,-0.879,27.359,-4.49,9.628,0.761,4,-1.036,2,53.381,0,0,96.404,4,0,0,0,0,0,10,1,0.396
36,2,0,0,2,0,5,2,-1,182.209,0.129,334.546,26.973,183.1,0,124.473,517.402,2,3,0.000032,0.0126818,0.9316691,11.342,5.812,8.302,6.594,1.411,-1.179,-1.71,0.977,11.662,-0.839,31.296,-4.414,9.492,0.599,4,-1.037,2,54.302,0,0,95.378,4,0,0,0,0,0,10,1,0.465
36,1,0,0,2,0,5,2,-1,182.209,3.696,334.302,26.109,182.501,0,125.693,517.293,2,3,0.026404,0.012691,0.9322166,11.338,5.821,8.666,6.59,1.42,-1.181,-1.71,0.986,11.815,-0.829,32.234,-4.403,9.476,0.649,4,-1.036,2,54.454,0,0,95.529,4,0,0,0,0,0,10,1,0.475
37,3,0,0,2,0,4,1,-1,229.384,3.817,365.901,28.093,150.882,0,186.926,560.179,2,5,0.0260131,0.0193251,0.8981576,13.696,6.149,10.682,8.663,1.472,-1.825,-1.969,0.435,23.566,-0.466,147.176,-3.916,10.702,0.238,0,-1.117,2,60.128,0,0,72.595,4,0,0,0,0,0,10,0,0.416
38,5,1,0,0,0,7,0,-1,121.136,2.579,302.347,119.018,183.329,0,0,457.203,5,6.1,0.0145498,0.0451138,0.9492907,7.649,5.153,12.589,13.481,-1.987,1.105,0.499,-3.079,45.112,-0.816,19.217,-6.289,9.265,-2.691,4,-0.951,2,44.92,0,0,89.228,4,0,0,0,0,0,8,0,0.793
39,7,0,0,0,0,5,0,-1,92.094,3.11,269.611,116.375,153.235,0,0,383.156,3,5.1,0.0252399,0.0327638,0.9462635,5.969,3.594,8.62,9.724,-1.196,0.088,-0.399,-2.402,348.957,-0.879,158.541,-3.864,10.908,-2.612,3,-0.979,2,65.455,0,0,67.774,3,0,0,0,0,0,6,0,15.432
40,7,0,0,0,0,8,3,-2,227.087,3.469,418.33,71.954,346.376,0,0,643.044,0,7,0.0187154,0,0.8612717,14.444,6.346,8.843,8.212,-2.316,0.823,-0.649,-3.777,5.143,-3.032,1.661,-7.135,12.931,0.658,0,-1.727,2,13.156,0,0,173.318,12,1,0,0,0,0,15,1,0.111
41,5,0,0,0,0,5,2,0,124.216,4.615,296.539,108.6,51.758,0,136.181,437.409,2.6,2.7,0.0487004,0.0146814,0.9397402,8.141,4.301,7.981,6.197,0.867,-0.626,-0.783,-2.507,3199.472,0.206,9689.025,-1.993,8.976,-0.071,3,-0.89,3,94.755,0,0,22.593,1,0,0,0,0,0,6,0,298.482
41,5,0,0,0,0,5,2,0,124.216,4.615,296.539,108.6,51.758,0,136.181,437.409,2.6,2.7,0.0487001,0.0146814,0.9397402,8.141,4.301,7.981,6.197,0.867,-0.626,-0.783,-2.507,3199.472,0.206,9689.025,-1.993,8.976,-0.071,3,-0.89,3,94.755,0,0,22.593,1,0,0,0,0,0,6,0,298.482
42,13,0,0,0,0,0,0,1,188.02,0.09,284.383,1.174,0,0,283.209,415.902,0,0,0.0000195,0,0.9475204,10.49,0.396,3.553,0.503,2.577,-2.109,-2.145,-2.381,9906.038,0.194,10000,-1.52,14.243,0.967,0,-0.175,3,100,283.209,0,0,0,0,0,0,0,0,11,0,40.666
43,12,0,0,0,0,0,2,1,197.382,1.605,274.273,23.631,0,0,250.642,392.353,0,0,0.0065667,0,0.9450034,9.548,2.13,3.15,0.467,2.301,-1.721,-1.9,-2.422,9906.038,0.239,10000,-1.52,11.124,1.561,0,-0.243,3,100,115.461,0,0,0,0,0,0,0,0,7,0,75.065
43,12,0,0,0,0,0,2,1,197.382,1.605,274.273,23.631,0,0,250.642,392.353,0,0,0.0065658,0,0.9450034,9.548,2.13,3.15,0.467,2.301,-1.721,-1.9,-2.422,9906.038,0.239,10000,-1.52,11.124,1.561,0,-0.243,3,100,115.461,0,0,0,0,0,0,0,0,7,0,75.065
44,9,0,0,0,0,1,1,1,184.493,2.67,308.528,35.144,0,0,273.383,454.021,0,0,0.0156965,0,0.9259509,11.374,1.444,3.957,0.337,2.114,-2.542,-2.542,-2.73,9906.038,0.262,10000,-1.423,11.501,0.581,1,-0.106,3,100,213.982,0,7.739,1,0,0,0,0,0,10,0,19.966
44,9,0,0,0,0,1,1,1,184.493,2.67,308.527,35.144,0,0,273.383,454.02,0,0,0.0156966,0,0.9259517,11.374,1.444,3.957,0.337,2.113,-2.542,-2.542,-2.73,9906.038,0.262,10000,-1.423,11.501,0.581,1,-0.106,3,100,213.981,0,7.739,1,0,0,0,0,0,10,0,19.966
45,10,0,0,0,0,1,1,1,168.039,2.887,295.336,40.212,0,0,255.125,426.437,0,0,0.0195446,0,0.9277222,10.27,0.459,3.538,0.299,2.125,-2.255,-2.255,-2.702,9906.038,0.272,10000,-1.423,13.506,-0.025,1,-0.187,3,100,255.125,0,7.8,1,0,0,0,0,0,10,0,35.221
45,10,0,0,0,0,1,1,1,168.039,2.887,295.336,40.212,0,0,255.125,426.437,0,0,0.0195444,0,0.9277222,10.27,0.459,3.538,0.299,2.125,-2.255,-2.255,-2.702,9906.038,0.272,10000,-1.423,13.506,-0.025,1,-0.187,3,100,255.125,0,7.8,1,0,0,0,0,0,10,0,35.221
46,15,0,0,0,0,0,0,1,100.016,0,225.756,0,0,34.924,190.832,298.199,0,0,0,0,0.9561589,6.113,-0.074,1.655,0.567,1.789,-1.02,-0.891,-2.408,9906.038,0.192,10000,-1.396,10.977,0.685,0,-0.516,3,100,190.832,0,0,0,0,0,0,0,0,6,0,516.043
47,9,1,0,1,0,2,0,-1,75.067,2.409,232.294,55.446,176.848,0,0,313.464,3,3,0.0185141,0.0223689,0.9606948,5.107,3.102,7.345,8.389,-3.007,0.36,0.692,-1.087,13.163,-0.436,6.455,-6.649,9.844,-0.77,3,-1.105,1,29.371,0,0,78.878,3,0,0,0,0,0,5,1,0.106
48,1,0,0,3,0,6,0,-2,192.125,5.105,361.155,65.453,295.702,0,0,575.194,3,5.75,0.0453152,0.0275762,0.9261484,13.013,6.52,12.346,11.333,0.072,-0.625,-1.14,2.696,0.253,-2.096,0.132,-6.393,11.435,-0.417,3,-1.347,1,16.67,0,0,160.15,7,0,0,0,0,0,13,1,0.018
49,9,0,0,0,0,1,2,1,184.493,3.126,308.621,43.623,0,0,264.999,456.456,0,0,0.0214038,0,0.9289772,11.471,1.639,4.032,0.334,2.317,-2.553,-2.568,-2.681,9906.038,0.279,10000,-1.423,11.284,0.251,1,-0.099,3,100,199.899,0,7.501,1,0,0,0,0,0,10,0,18.834
49,9,0,0,0,0,1,2,1,184.493,3.126,308.621,43.622,0,0,264.999,456.358,0,0,0.0214078,0,0.9288449,11.467,1.636,4.031,0.334,2.317,-2.552,-2.567,-2.683,9906.038,0.279,10000,-1.423,11.284,0.251,1,-0.1,3,100,199.899,0,7.501,1,0,0,0,0,0,10,0,18.878
50,8,0,0,2,0,3,2,-2,116.073,0,286.422,32.45,229.581,24.392,0,411.341,2,4,0,0.01975,0.9338843,8.615,4.256,7.616,8.343,-0.266,-0.13,-0.466,0.897,4.227,-1.372,2.174,-5.377,11.351,1.252,0,-1.22,2,36.591,0,0,103.338,4,0,0,0,0,0,8,1,0.285
51,2,1,1,1,0,7,0,-2,174.202,3.781,414.106,116.459,297.647,0,0,639.988,7,5,0.0223333,0.0319453,0.8672969,14.964,7.606,17.978,16.373,-3.592,-0.134,0.174,-2.598,0.941,-2.098,0.373,-10.458,8.395,-0.764,5,-1.228,1,0,0,0,145.95,6,1,0,0,0,0,12,1,0
52,4,5,0,0,0,12,0,-2,189.303,1.508,510.037,331.665,178.371,0,0,807.788,7,6.5,0.0028167,0.0337179,0.822423,18.468,8.302,18.874,16.167,-3.073,2,4.375,-8.036,3.127,-1.121,1.314,-7.78,9.261,-2.189,7,-1.117,1,4.852,0,0,96.335,5,1,0,0,0,0,13,2,0.314
53,4,1,0,4,0,10,0,-2,235.07,7.368,375.15,55.212,316.115,0,3.823,609.455,3,7.75,0.0890874,0.0357814,0.9266601,11.815,7.057,13.598,12.595,-2.327,0.526,-0.205,3.785,0.04,-2.086,0.006,-8.448,9.228,0.019,3,-1.757,1,0,0,0,161.253,8,1,0,0,0,0,13,1,0.003
54,2,2,0,2,0,10,1,-2,214.219,4.071,455.108,196.306,218.513,0,40.289,718.245,5,7.5,0.0230728,0.0368495,0.8522471,16.169,7.618,16.524,14.819,-2.792,0.637,1.062,-1.76,0.335,-1.149,0.285,-8.712,9.258,1.096,3,-1.376,1,2.093,0,0,104.964,5,0,0,0,0,0,12,1,0.002
55,2,2,0,1,0,6,0,-1,182.17,1.803,371.533,119.823,181.588,0,70.123,586.804,5,4,0.0055383,0.0240739,0.9123521,13.477,5.702,13.682,11.812,-2.658,0.884,0.836,-2.595,2.96,-0.283,3.447,-8.415,9.757,-0.24,3,-1.044,1,19.819,70.123,0,93.795,4,0,0,0,0,0,12,1,0.005
55,3,2,0,1,0,6,0,-1,182.17,0.99,371.416,118.854,183.297,0,69.264,586.296,5,4,0.0016714,0.0240816,0.9121153,13.457,5.712,13.626,11.823,-2.676,0.889,0.836,-2.599,2.852,-0.3,3.275,-8.447,9.621,-0.323,3,-1.045,1,19.423,69.264,0,94.606,4,0,0,0,0,0,12,1,0.005
56,2,1,0,4,0,11,0,-2,249.097,4.047,404.101,92.548,307.714,0,3.839,667.257,3,7.75,0.0245418,0.0332179,0.9138396,13.487,7.476,13.204,12.387,-2.005,0.396,-0.424,3.578,0.048,-2.148,0.007,-8.197,9.493,-0.169,3,-1.743,1,0,0,0,160.47,8,1,0,0,0,0,14,1,0.004
57,5,0,0,2,0,3,0,-2,118.089,3.279,295.999,77.184,218.815,0,0,431.347,2,4,0.0249336,0.0191111,0.932737,9.182,4.228,8.059,8.127,-0.575,-0.223,-0.489,0.995,5.347,-1.294,2.803,-5.264,11.437,-0.614,2,-1.19,2,36.609,0,0,103.32,4,0,0,0,0,0,8,1,0.287
58,2,1,0,1,0,5,1,-2,131.131,6.031,333.11,114.249,218.861,0,0,501.313,3,5,0.0725469,0.0259982,0.9161868,10.698,5.066,11.136,10.225,-3.016,0.063,0.507,-1.807,5.259,-1.078,2.395,-7.136,9.673,-0.364,5,-1.064,1,22.19,0,0,105.968,4,0,0,0,0,0,9,1,0.011
59,7,0,0,1,0,4,0,-1,104.105,3.315,295.056,129.533,165.524,0,0,427.852,2,3.7,0.0256848,0.0177342,0.9306564,8.4,3.787,7.332,7.246,-0.288,0.114,-0.389,-0.847,67.583,-0.952,34.196,-4.186,11.12,-0.802,2,-1.061,2,58.012,0,0,74.659,3,0,0,0,0,0,7,0,4.384
60,3,1,0,1,1,5,0,-2,146.146,7.125,343.859,78.979,264.88,0,0,523.337,5,5.5,0.0969902,0.0357658,0.913354,11.579,6.061,15.18,16.815,-4.226,1.214,1.029,-0.478,0.955,-1.456,0.808,-7.984,9.876,-0.635,5,-1.402,1,1.845,0,38.234,128.781,5,0,0,0,0,0,10,1,0.025
61,13,2,0,4,4,23,1,-2,612.626,6.41,949.984,279.86,612.41,0,57.715,1757.854,9,18,0.0233705,0.056843,0.7414874,49.427,21.774,41.05,40.067,-5.566,2,0.617,5.56,0,-7.31,0,-14.723,9.693,2.637,12,-3.199,1,0,0,108.619,396.663,18,3,0,0,0,0,40,2,0
62,1,1,0,1,0,6,0,-1,131.174,2.429,364.877,192.092,172.785,0,0,556.289,3,3,0.0106075,0.0142408,0.8965042,12.256,5.153,9.451,7.798,-1.675,-0.494,0.227,-2.125,14.384,-0.833,7.105,-6.19,9.487,-0.831,3,-0.922,2,37.86,0,0,78.647,3,0,0,0,0,0,9,1,0.048
63,1,0,0,2,0,8,0,-2,188.223,4.792,457.148,245.293,211.854,0,0,730.06,2,4,0.0314553,0.0123742,0.857724,17.926,6.767,10.852,7.365,1.624,-1.917,-1.54,-0.219,6.224,-1.838,3.303,-4.656,11.269,-0.854,2,-0.827,2,50.668,0,0,101.923,4,0,0,0,0,0,13,1,0.05
64,5,2,0,4,0,11,0,-2,292.245,6.615,492.741,147.27,345.471,0,0,867.74,4,12,0.0504337,0.0487071,0.8929066,21.51,9.774,20.277,18.506,-3.183,1.031,1.192,2.513,0.005,-2.191,0.001,-10.956,9.185,-0.674,6,-1.811,1,0,0,0,204.786,10,0,0,0,0,0,20,1,0
65,6,3,0,5,0,16,0,-2,393.35,7.765,586.772,199.553,387.219,0,0,1106.09,5,16,0.0545178,0.0609728,0.881501,27.838,12.455,26.249,23.318,-3.632,2,1.937,3.41,0.001,-2.926,0,-11.245,9.401,-0.309,8,-2.215,1,0,0,0,248.78,13,1,0,0,0,0,27,2,0
66,3,4,0,0,0,9,0,-1,146.235,2.055,422.075,266.555,155.52,0,0,648.571,6,5,0.00651,0.0290172,0.858513,14.023,6.403,15.185,13.52,-2.605,2,3.514,-6.726,5.15,-0.589,2.253,-7.647,9.047,-2.453,6,-1.069,2,11.473,0,0,81.966,4,1,0,0,0,0,10,1,0.33
67,8,0,0,0,0,18,0,-2,807.116,7.128,749.181,271.028,355.208,10.824,112.121,1416.959,8,18.2,0.0358524,0.0687115,0.8143602,39.098,16.555,35.698,29.724,-1.693,-2.099,-8.048,-4.587,4.241,-3.817,5.548,-6.3,9.327,2.099,6,-1.399,1,0,0,0,221.923,12,3,6,0,6,0,33,1,0.003
67,8,0,0,0,0,18,0,-2,807.116,7.652,752.884,263.67,364.002,10.05,115.162,1425.769,8,18.2,0.0410664,0.0683735,0.8137098,39.443,16.714,35.949,29.789,-1.701,-2.148,-8.048,-4.594,3.5,-3.904,4.684,-6.464,9.239,2.121,6,-1.388,1,0,0,0,223.633,12,3,6,0,6,0,33,1,0.002
67,9,0,0,0,0,18,0,-2,807.116,15.347,785.93,264.281,388.097,11.484,122.069,1452.81,8,18.2,0.162115,0.0654986,0.7893205,40.539,17.293,38.042,30.044,-1.791,-2.517,-8.048,-4.996,2.068,-4.375,2.894,-6.904,9.406,2.011,6,-1.434,1,0,0,0,226.262,12,3,6,0,6,0,33,1,0
68,3,0,0,1,0,4,1,-1,142.188,1.773,303.751,81.792,140.894,0,81.065,444.995,1,3.5,0.0070667,0.0115226,0.9280068,9.086,4.125,6.029,5.466,0.6,-0.593,-0.867,-0.889,115.718,-0.569,170.023,-3.732,9.561,0.629,1,-1.042,2,67.39,0,0,64.747,3,0,0,0,0,0,7,0,6.725
69,9,1,0,0,0,3,1,2,77.144,2.333,247.244,103.808,63.926,0,79.51,339.506,2.8,1.5,0.0160346,0.0101518,0.9519288,5.507,3.025,6.133,5.693,-0.276,1.354,0.811,-3.036,611.77,0.506,877.225,-4.472,9.246,-0.307,3,-1.002,3,75.205,0,0,27.14,1,0,0,0,0,0,4,0,58.751
70,12,0,0,2,0,0,0,-1,62.025,0.693,191.634,0,191.634,0,0,240.32,2,2,0.0019986,0.0147595,0.975481,3.464,2.243,4.734,6.383,-0.279,0.831,-0.169,1.686,9.679,-0.779,5.323,-5.051,11.839,-1.017,0,-1.271,2,42.958,0,0,77.095,3,0,0,0,0,0,4,1,1.852
71,6,0,0,3,0,3,0,-2,126.005,2.362,264.417,0,261.62,0,2.797,371.308,3,7,0.0150202,0.0458532,0.9448564,6.779,4.218,10.409,12.763,-0.81,-0.465,-0.245,2.998,0.532,-1.564,0.305,-6.053,10.511,0.21,0,-1.352,1,17.293,0,0,117.214,5,0,0,0,0,0,7,1,0.038
72,9,0,0,0,1,0,0,-1,60.055,6.474,199.157,0,199.157,0,0,254.471,4,2,0.1646968,0.0200847,0.9751296,4.03,2.935,10.101,12.91,-2.199,1.001,0.41,-0.56,53.428,-0.833,53.634,-5.19,9.737,-1.159,2,-1.368,2,44.996,0,47.679,82.054,3,0,0,0,0,0,4,0,38.778
